track_name,pos,album_name,artist_name,duration_ms,playlist_name,playlist_pid,playlist_num_tracks,playlist_num_albums,playlist_num_artists,playlist_num_followers,playlist_collaborative,harmony_degree,tonic,mode,tempo,mfcc_shape,spectral_contrast_mean,spectral_contrast_var,spectral_centroid_mean,spectral_centroid_var,spectral_flatness_mean,spectral_flatness_var,progression1,progression2
La La La (Brasil 2014),17,Shakira. (Deluxe Version),Shakira,197626,2014,8,21,21,19,1,False,6.749451273046532,C#,minor,129.19921875,"(13, 9112)",21.232351444665348,11.574762102285398,2319.666517905008,880.7794086940642,0.04095154,0.10661419,"['bIII', 'III', 'bbVI', 'bVII', 'IV', 'i', 'biii', 'III']","['IV', 'i', 'biii', 'III', 'bbVI', 'bVII', 'i']"
Hella décalé (feat. Soldat Jahman & Doukali),18,Fiesta Buena,Dj Mam's,234520,2014,8,21,21,19,1,False,7.4511025886864815,F,major,129.19921875,"(13, 10430)",21.06218682613915,11.655231265580635,2808.8113538893394,941.361336905513,0.091197036,0.19619414,"['vi', 'III', 'viio', 'vi', 'V', 'vi', 'vii', 'I']","['vii', 'VI', 'V', 'III']"
Timber,19,Global Warming: Meltdown (Deluxe Version),Pitbull,204160,2014,8,21,21,19,1,False,5.223150357995227,B,major,129.19921875,"(13, 9218)",21.454440366880423,11.475613574813732,2789.085363833028,846.2964127137294,0.08227628,0.20100042,"['I', 'V', 'IV', 'bbvii', 'I']","['bbvii', 'I', 'V', 'IV']"
Love Never Felt so Good,20,XSCAPE,Michael Jackson,246026,2014,8,21,21,19,1,False,6.867468747062694,D,minor,117.45383522727272,"(13, 10639)",21.94473262490618,11.58413558272111,2187.3575227022457,874.0578705349085,0.028401168,0.08113543,"['i', 'III', 'I', 'iv']","['iv', 'i', 'III', 'I']"
No Scrubs,0,Fanmail,TLC,214400,90s,49,12,11,10,1,False,5.603050595238095,G#,minor,92.28515625,"(13, 10752)",22.697542579033424,11.33868194051366,3028.14130704498,1204.6903471503051,0.037981566,0.06347704,"['bbVI', 'bbii', 'iv', 'bbii', 'bbVI']","['iv', 'bbii', 'bbVI', 'bbii']"
...Baby One More Time,1,...Baby One More Time (Digital Deluxe Version),Britney Spears,211066,90s,49,12,11,10,1,False,6.047908298226707,C,minor,92.28515625,"(13, 10207)",21.450068709988955,11.554040009178252,2868.595425521785,996.31680929964,0.060484983,0.12362224,"['i', 'V', 'V', 'III', 'iv', 'i', 'V', 'iv']","['i', 'V', 'III', 'iv']"
Wannabe - Radio Edit,2,Spice,Spice Girls,173026,90s,49,12,11,10,1,False,5.2982663514578405,B,major,112.34714673913044,"(13, 7614)",22.25483894509416,12.198548594002744,2343.977038301944,698.9085704553754,0.05161541,0.17335081,"['V', 'bbvii', 'IV', 'I']","['I', 'V', 'bbvii', 'IV']"
Two Princes,3,Pocket Full Of Kryptonite (Anniversary Edition),Spin Doctors,256946,90s,49,12,11,10,1,False,7.011986760890956,B,minor,135.99917763157896,"(13, 11179)",21.410807307803903,11.65936314606972,2726.369921892428,640.3370890241915,0.039867777,0.04475627,"['i', 'bVII', 'bVI', 'i']","['bVI', 'i', 'bVII', 'bVI']"
Waterfalls,4,Crazysexycool,TLC,279506,90s,49,12,11,10,1,False,5.686042287292015,D#,minor,172.265625,"(13, 13763)",21.7792963700942,11.586589504904804,2140.7657442225227,948.2618079853552,0.019519435,0.051802177,"['bVII', 'bbV', 'bbII', 'bbVI']","['bbV', 'bbII', 'bbVI', 'bVII']"
Bye Bye Bye,5,No Strings Attached,*NSYNC,200560,90s,49,12,11,10,1,False,,,,,,,,,,,,,
No Diggity,6,Another Level,Blackstreet,304600,90s,49,12,11,10,1,False,5.676452914413255,F#,minor,89.10290948275862,"(13, 11649)",22.581188492343625,11.736139560339376,2576.7945538905774,1099.989973912988,0.037743945,0.08185269,"['bbvii', 'i', 'bbvii', 'i']","['i', 'bbvii', 'i', 'bbvii']"
Genie in a Bottle,7,Christina Aguilera,Christina Aguilera,217573,90s,49,12,11,10,1,False,6.039085149790616,F,minor,117.45383522727272,"(13, 9313)",22.97458850765328,10.991910643994162,2286.6317330414545,908.564033007056,0.020385632,0.030317897,"['i', 'III', '#V', 'V', 'i']","['i', 'bVII', '#V', 'bVII', 'i', 'bVII']"
Crazy In Love,8,Dangerously In Love (Alben für die Ewigkeit),Beyoncé,235933,90s,49,12,11,10,1,False,5.913985876814437,G#,minor,99.38401442307692,"(13, 10196)",22.44656365415381,11.787091063563013,3113.6794685374143,825.655167343125,0.04633184,0.06915055,"['bIII', 'bi', 'bIII', 'bi']","['bi', 'bIII', 'bi', 'bIII']"
What a Girl Wants,9,Christina Aguilera,Christina Aguilera,215800,90s,49,12,11,10,1,False,5.1627313940309785,C,major,143.5546875,"(13, 10588)",22.28954013207893,11.098118846161116,2569.493256535844,984.7611595134096,0.02551603,0.03693204,"['vi', 'iv', 'bVII', 'I', 'iii']","['iv', 'bVII', 'I', 'iii', 'vi', 'iv', 'bVII', 'vi']"
Waiting for Tonight,10,On The 6,Jennifer Lopez,246426,90s,49,12,11,10,1,False,6.264640267707752,F,minor,123.046875,"(13, 10758)",22.058603232306528,11.276989671082555,3208.4012511228498,882.4577259889124,0.052782327,0.05950316,"['iv', 'i', 'i', '#I']","['i', '#I', 'iv', 'i']"
My Own Worst Enemy,11,A Place In The Sun,Lit,169026,90s,49,12,11,10,1,False,6.030744926479524,E,major,103.359375,"(13, 8229)",21.61133339842488,11.974924796325531,2792.981970013326,602.1007805572884,0.04505806,0.030121155,"['I', 'II', 'IV', 'V', 'I']","['IV', 'V', 'I', 'II', 'vi', 'IV', 'V', 'I']"
Run Wild - Acoustic,0,Run Wild,Jon Bellion,188365,Acoustic,20,16,14,10,1,False,5.458732462506047,E,minor,99.38401442307692,"(13, 10335)",23.17009303348353,11.36064145517238,1933.2894084058685,936.9849052644778,0.028329173,0.11476276,"['bVI', 'i', 'bII', 'bVI']","['iv', 'i', 'iv', 'bVI']"
What Do You Mean? - Acoustic,1,Purpose,Justin Bieber,203800,Acoustic,20,16,14,10,1,False,,,,,,,,,,,,,
Sunday Morning - Acoustic,2,1.22.03 Acoustic,Maroon 5,254853,Acoustic,20,16,14,10,1,False,3.420007288629737,G,major,161.4990234375,"(13, 10976)",23.073383172371003,11.415292189343234,1779.2434231813186,810.1336600115175,0.010623062,0.020056156,"['I', 'IV', 'v', 'I', 'IV', 'v']","['v', 'I', 'IV', 'v', 'I']"
Honeypot - Acoustic,3,Peace of Mind (Deluxe),Rebelution,173560,Acoustic,20,16,14,10,1,False,2.597110754414125,D#,major,64.599609375,"(13, 7476)",26.00333614241556,9.75629444367378,1524.3199096401304,1152.3808785628282,0.01577835,0.06335587,"['biv', 'bbVII', 'bbvii', 'bbII']","['bbVII', 'bbvii', 'bbII', 'bbV']"
Comfort Zone - Acoustic,4,Peace of Mind (Deluxe),Rebelution,191840,Acoustic,20,16,14,10,1,False,3.444215876089061,F#,minor,95.703125,"(13, 8264)",23.635562281530348,10.763306042388924,1996.5587549565532,1091.075176669118,0.017180894,0.05160022,"['i', 'v', 'i', 'iv']","['v', 'i', 'iv', 'i']"
Woke The F*ck Up - Acoustic,5,Woke The F*ck Up,Jon Bellion,208123,Acoustic,20,16,14,10,1,False,,,,,,,,,,,,,
Human - Acoustic,6,Human,Jon Bellion,247838,Acoustic,20,16,14,10,1,False,2.7383186166298747,F#,major,184.5703125,"(13, 10872)",24.671152207455524,10.31819366856482,1418.2507199780791,1060.5739289808232,0.03562862,0.16469885,"['V', 'I', 'IV', 'V', 'I', 'IV', 'V', 'I']","['bbvii', 'V', 'bbiii', 'I', 'bbvii', 'V', 'bbiii']"
All Time Low - Acoustic,7,All Time Low,Jon Bellion,222702,Acoustic,20,16,14,10,1,False,4.021921406202647,A,minor,99.38401442307692,"(13, 9899)",23.581873750170708,11.344792048792929,2087.586713953633,892.336951115705,0.04263374,0.15478206,"['bVI', 'bVII', 'i', 'bVII', 'bVI', 'bVII', 'i']","['i', 'v', 'bVI', 'bVII', 'i']"
Northern Downpour,8,Pretty. Odd.,Panic! At The Disco,247773,Acoustic,20,16,14,10,1,False,3.6331081706301473,F,major,86.1328125,"(13, 10807)",23.27909617162618,10.987290744376374,2159.3228173387315,860.5231232481045,0.030036323,0.10979546,"['IV', 'vi', 'I', 'vi', 'IV']","['vi', 'V', 'ii', 'I']"
February Air - Acoustic,9,LIGHTS. ACOUSTIC,Lights,231013,Acoustic,20,16,14,10,1,False,2.583082178018887,A#,major,123.046875,"(13, 9954)",25.42125816549027,10.790627510794035,2156.6642678962257,988.2331970608182,0.018919716,0.08785176,"['bbV', 'bbvii', 'bbVI', 'bbvii', 'bbV']","['bbvii', 'bbV', 'bbvii', 'bbVI']"
River - Acoustic,10,LIGHTS. ACOUSTIC,Lights,193880,Acoustic,20,16,14,10,1,False,2.118745511132392,G#,major,103.359375,"(13, 8354)",25.544177479620537,10.872791020276638,2113.6721747229376,1247.5350254050077,0.022233564,0.09478307,"['bbII', 'IV', 'bbII', 'IV', 'bbII']","['IV', 'bbII', 'IV', 'bbII', 'IV']"
Interlude 2,11,An Awesome Wave,alt-J,77400,Acoustic,20,16,14,10,1,False,2.2654469106178765,D,major,117.45383522727272,"(13, 3334)",22.186071804661943,10.846205923822232,893.6133864188539,630.1903460568936,0.003967195,0.014636496,"['I', 'I', 'iii', 'I']","['I', 'IV', 'V', 'I', 'V', 'I']"
Tell Her You Love Her - Acoustic,12,Talking Dreams,Echosmith,259786,Acoustic,20,16,14,10,1,False,1.9559534467323187,D,major,117.45383522727272,"(13, 11170)",26.174056231635507,10.598643254430195,1827.2667876171067,1115.3681024407333,0.007511951,0.027258264,"['IV', 'I', 'IV', 'I']","['I', 'IV', 'I', 'IV']"
Footprints (Acoustic),13,Rest,WVNDER,168040,Acoustic,20,16,14,10,1,False,2.8768826861959376,B,major,112.34714673913044,"(13, 7237)",25.79112630974186,11.15262446696523,1648.602765540921,717.3885144218403,0.007167262,0.024654798,"['bbvii', 'I', 'vi', 'I']","['vi', 'I', 'bbvii', 'IV', 'V', 'IV', 'bbvii', 'I']"
Banner - Acoustic,14,Siberia,Lights,230946,Acoustic,20,16,14,10,1,False,2.4012542305395184,D,major,143.5546875,"(13, 10046)",25.889055863822698,10.487451229900298,2058.277223197891,1061.9742593201995,0.012957854,0.062019777,"['I', 'ii', 'IV', 'I', 'iii']","['ii', 'IV', 'I', 'iii', 'iii', 'vi']"
Half The World Away,15,All My Demons Greeting Me As A Friend,AURORA,198133,Acoustic,20,16,14,10,1,False,1.9437939110070257,G#,major,112.34714673913044,"(13, 8113)",25.11471116822691,10.087336870628288,1402.0371665986445,1018.9025850691492,0.031253234,0.16373666,"['bbII', 'IV', 'bbII', 'IV', 'ii', 'bbII', 'biv', 'bbvii']","['ii', 'bbII', 'biv', 'bbvii', 'bbIII', 'IV']"
My House,0,MY HOUSE,Flo Rida,192190,Awesome music,1,16,15,15,1,False,5.441489361702128,G,minor,95.703125,"(13, 8460)",22.08642358216475,11.938789306715258,2312.8571716869787,935.354702796694,0.047371306,0.14855699,"['I', 'bVI', 'III', 'i', 'bVI', 'III']","['i', 'bVI', 'III', 'I', 'bVI', 'III', 'i']"
Uptown Funk,1,Uptown Special,Mark Ronson,269666,Awesome music,1,16,15,15,1,False,8.500515198351366,C,major,117.45383522727272,"(13, 11646)",21.048796812782943,12.177269329231912,2759.7209180098084,903.374669420942,0.04621816,0.054857697,"['V', 'ii', 'V', 'ii', 'V']","['ii', 'V', 'ii', 'V', 'vi', 'viio']"
Lean On (feat. MØ & DJ Snake),2,Peace Is The Mission,Major Lazer,176561,Awesome music,1,16,15,15,1,False,3.0611291369240754,G,minor,99.38401442307692,"(13, 7705)",23.05380816003369,11.693882229207786,2646.970727765228,1012.9406733538063,0.025114985,0.037673477,"['i', 'bVI', 'bVII', 'i']","['bVI', 'bVII', 'i', 'i']"
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",3,MY HOUSE,Flo Rida,224258,Awesome music,1,16,15,15,1,False,4.406747891283974,G,minor,117.45383522727272,"(13, 9603)",21.70687159176469,11.51467990470362,2573.9539644307056,871.6728285175363,0.030941907,0.045695275,"['i', 'ii', 'v', 'i']","['ii', 'v', 'i', 'ii']"
Believer,4,Evolve,Imagine Dragons,204346,Awesome music,1,16,15,15,1,False,4.594038172850096,A#,minor,123.046875,"(13, 9326)",21.499906967479298,11.683451038335743,2288.8136821889507,831.4540035617347,0.03855785,0.121184036,"['bVI', 'bbVI', 'bbii', 'bVI']","['bVI', 'bbVI', 'bbV', 'bbii', 'iv', 'bVI']"
This Is What You Came For,5,This Is What You Came For,Calvin Harris,222160,Awesome music,1,16,15,15,1,False,4.494998543265028,A,minor,123.046875,"(13, 10297)",21.913888438809128,11.101561390178905,2527.438165577408,898.1066990043772,0.03988369,0.09850986,"['bVII', 'i', 'bVI', 'bVII', 'i', 'bVI', 'bVII']","['i', 'bVI', 'bVII', 'i', 'III']"
Heathens,6,Heathens,Twenty One Pilots,195920,Awesome music,1,16,15,15,1,False,4.868939797549281,E,minor,89.10290948275862,"(13, 9385)",22.203423102066107,11.20547231837382,2295.547483236548,1108.8354911961,0.04817647,0.14917512,"['I', 'bVI', 'iv', 'I']","['bVI', 'iv', 'I', 'bVI']"
HandClap,7,Fitz and The Tantrums,Fitz and The Tantrums,193253,Awesome music,1,16,15,15,1,False,3.979406420351302,C,minor,135.99917763157896,"(13, 8255)",22.363300456111794,11.449563108430333,2574.39409453495,764.0391006321591,0.028547762,0.05067315,"['bVI', 'V', 'vi', 'i', 'bVI']","['i', 'bVI', 'bVII', 'i']"
iSpy (feat. Lil Yachty),8,iSpy (feat. Lil Yachty),KYLE,253106,Awesome music,1,16,15,15,1,False,4.982987106017192,D,minor,151.99908088235293,"(13, 11168)",23.00823961150885,11.113651351688592,3022.7765687803985,1095.7213513909849,0.059798997,0.108637124,"['bVII', 'i', 'bVII', 'i']","['i', 'bVII', 'i', 'bVII']"
It's Everyday Bro,9,It's Everyday Bro,Jake Paul,217678,Awesome music,1,16,15,15,1,False,2.152907771584814,D#,minor,151.99908088235293,"(13, 9509)",23.39132480805229,11.744672879532152,2161.396520464551,1078.948881388499,0.026149428,0.12247488,"['bbII', 'bbv', 'bbii', 'bVI', 'bvii', 'bbii', 'bbv', 'bbII']","['bvii', 'bbii', 'bbv', 'bbII', 'bbv', 'bbii', 'bbv', 'bbII']"
Pokemon Theme,10,Pokemon X - Ten Years Of Pokemon,Pokémon,196826,Awesome music,1,16,15,15,1,False,5.5165151340775695,D,minor,143.5546875,"(13, 8689)",21.429740361173437,11.784927379924854,2696.85937949933,860.7523514835639,0.0672639,0.16082491,"['bVI', 'bVII', 'I', 'bII']","['bII', 'III', 'iv', 'III']"
Help Me Help You (feat. Why Don't We) (GARABATTO Remix),11,Help Me Help You (feat. Why Don't We) (GARABATTO Remix),Logan Paul,199285,Awesome music,1,16,15,15,1,False,3.5950997150997157,A,major,143.5546875,"(13, 8775)",21.64417462817839,11.409174545288638,2741.848621707477,1289.7798061628907,0.065912545,0.1605737,"['ii', 'V', 'vi', 'I']","['I', 'ii', 'V', 'vi']"
That's What I Like,12,24K Magic,Bruno Mars,206693,Awesome music,1,16,15,15,1,False,4.877919788453063,G#,major,135.99917763157896,"(13, 9076)",22.06833182893844,11.606635198136468,2644.890914368332,1106.603532831435,0.059050586,0.16027713,"['bbvii', 'bbiii', 'bbvii', 'IV', 'bbii', 'IV', 'bbvi', 'bbvii']","['bbvi', 'bbiii', 'bbvi', 'bbiii', 'IV', 'bbvi', 'bbviio', 'bbvii']"
Shape of You,13,÷,Ed Sheeran,233712,Awesome music,1,16,15,15,1,False,4.407250595395607,F#,minor,129.19921875,"(13, 11337)",21.58712750195585,11.464919064873934,2049.577977119043,1038.2908313278829,0.07465623,0.2206464,"['v', 'i', 'ii', 'v', 'i']","['i', 'IV', 'v', 'i']"
Jump Around,14,Jump Around,KSI,186728,Awesome music,1,16,15,15,1,False,3.604352007694157,D#,major,107.666015625,"(13, 8318)",21.172756044223178,11.660697469437087,2441.3241507082184,919.774629044438,0.047114834,0.144911,"['bII', 'bii', 'bII', 'bbVII', 'bII']","['bII', 'bbVII', 'bII', 'bii']"
Mmm Yeah (feat. Pitbull),15,The Secret,Austin Mahone,231624,Awesome music,1,16,15,15,1,False,6.202523771438727,F#,minor,123.046875,"(13, 11253)",20.798638162869,11.467585854471087,2633.27720814145,1090.3591015577792,0.108183,0.24241698,"['iv', 'i', 'bVII', 'i']","['i', 'bVII', 'IV', 'bVI', 'i', 'bVII']"
Ang Laga De,0,Ram-Leela (Original Motion Picture Soundtrack),Aditi Paul,327235,Bollywood,28,8,4,6,1,False,3.891112699547296,F,minor,103.359375,"(13, 8394)",24.39311859221047,11.09538682517951,3227.091617298828,1014.4062508199496,0.024811191,0.04803298,"['i', 'V', 'v', 'V', 'i', 'IV', 'V', 'I']","['V', '#vo', '#V', 'V', 'i', 'v', 'V', 'I']"
Lahu Munh Lag Gaya,1,Ram-Leela (Original Motion Picture Soundtrack),Shail Hada,300068,Bollywood,28,8,4,6,1,False,3.7243793761935073,F,minor,143.5546875,"(13, 14139)",22.787638300959763,11.477229177977945,3229.3040994119897,829.1083825614528,0.055854574,0.08694456,"['III', 'io', 'V', 'i', '#IV', 'i']","['vi', 'v', 'I', 'III', 'III', 'II', 'ii', 'I']"
Poore Chand,2,Ram-Leela (Original Motion Picture Soundtrack),Shail Hada,247954,Bollywood,28,8,4,6,1,False,2.731434384537131,G#,minor,151.99908088235293,"(13, 9830)",23.89092934270786,10.98372768699828,3035.0808163710167,708.129234759979,0.033895936,0.07749798,"['bIII', 'bbii', 'bbVI', 'bbII']","['bbii', 'bbVI', 'bbII', 'bbii']"
Bezubaan,3,ABCD - Any Body Can Dance (Original Motion Picture Soundtrack),Mohit Chauhan,282840,Bollywood,28,8,4,6,1,False,4.847844977407021,C#,major,103.359375,"(13, 11508)",21.8653741313365,11.269912602935197,2002.2163568485405,727.1681188473032,0.014425405,0.03063214,"['bbvi', 'bIII', 'bVII', 'IV', 'bbvi', 'bIII', 'bVII']","['IV', 'bbvi', 'bIII', 'bVII', 'ii', 'bbvi', 'i']"
Yoon Shabnami,4,Saawariya (Original Motion Picture Soundtrack),Monty Sharma,315360,Bollywood,28,8,4,6,1,False,4.682170542635659,C,major,95.703125,"(13, 11868)",23.17328423717292,11.496164846963836,2141.7179303171665,702.8131290618395,0.014543956,0.043472003,"['IV', 'vi', 'v', 'IV']","['I', 'IV', 'I', 'IV']"
Chhabeela,5,Saawariya (Original Motion Picture Soundtrack),Monty Sharma,323840,Bollywood,28,8,4,6,1,False,5.43902804859757,D#,major,92.28515625,"(13, 13334)",23.234176068502457,11.734711148701273,2469.6253695480573,727.7620817565786,0.029161846,0.088011354,"['bvii', 'bbII', 'bbv', 'bbII', 'bbv']","['bIII', 'bbv', 'bIII', 'bbv']"
Bijli Aaye Ya Na Aaye (Dhol Bajena Mix),6,The Reluctant Fundamentalist Soundtrack,Meesha Shafi,187946,Bollywood,28,8,4,6,1,False,4.207164916615195,E,major,151.99908088235293,"(13, 8095)",22.983152766105043,12.870019894540262,2563.433516860613,717.219043316002,0.027112016,0.054281823,"['I', 'IV', 'bIII', 'bVII', 'I', 'IV', 'bIII', 'v']","['I', 'IV', 'bIII', 'v', 'I']"
Nagada Sang Dhol,7,Ram-Leela (Original Motion Picture Soundtrack),Shreya Ghoshal,273319,Bollywood,28,8,4,6,1,False,6.599124989276829,D#,minor,78.30255681818181,"(13, 11657)",20.99570545200036,11.294646692656102,3536.721458937448,622.5541974712081,0.08455989,0.058706317,"['bbII', 'bVI', 'bbII', 'bVI', 'bbII']","['bVI', 'III', 'biiio5b3', 'bVI', 'III']"
Stay (with Alessia Cara),0,Stay,Zedd,210090,Brunch,27,15,15,15,1,False,4.195379753732157,G#,major,103.359375,"(13, 9177)",21.75138533166894,11.002834073032446,2660.159104706275,1149.6475629588836,0.053706627,0.12481658,"['bbII', 'IV', 'bbvii', 'biv']","['IV', 'bbvii', 'biv', 'bbII']"
The Good Life,1,Life Starts Now,Three Days Grace,173173,Brunch,27,15,15,15,1,False,4.9859951521680586,D,minor,129.19921875,"(13, 7426)",20.97660460780707,12.306340971554755,2819.982912679482,506.991480985516,0.04163303,0.033378165,"['I', 'bII', 'I', 'bII', 'I']","['bII', 'I', 'bII', 'I', 'bII']"
Keep Your Eyes Open,2,The Reckoning,NEEDTOBREATHE,250466,Brunch,27,15,15,15,1,False,4.188677485543741,C,major,78.30255681818181,"(13, 10722)",21.79858464740313,11.502514767489746,2331.186501534606,1000.3551374596065,0.08879718,0.23346767,"['vi', 'V', 'IV', 'I']","['vi', 'I', 'IV', 'I', 'vi']"
Work,3,Vivid,Vivian Green,251559,Brunch,27,15,15,15,1,False,4.883278940295642,D,minor,117.45383522727272,"(13, 10418)",22.28558751009617,11.391352099536505,2132.3557456820936,761.4165059228765,0.015511045,0.03341457,"['bVII', 'iio', 'bVII', 'iio', 'bVII', 'i', 'ii', 'i']","['bVII', 'I', 'bVII', 'I']"
